0,412,702,23,28
0,928,558,19,17
1,893,412,15,19
0,1026,621,22,18
0,934,577,19,24
0,1074,630,22,19
0,1123,629,22,23
0,1014,620,21,22
0,398,709,22,21
0,349,695,29,29
0,1107,630,14,20
0,904,557,22,21
0,905,574,18,18
0,888,578,14,22
0,890,562,15,15
0,825,596,31,19
0,917,396,14,12
1,900,438,11,15
0,665,733,26,29
0,626,749,17,19
0,603,739,17,25
0,585,727,31,30
0,600,663,34,16
0,555,661,30,14
0,530,655,17,19
0,481,708,28,21
0,463,714,22,23
0,383,695,27,30
0,375,615,30,16
0,723,246,12,8
0,644,315,21,12
0,641,319,21,14
0,585,91,14,7
0,546,109,9,6
0,536,116,8,7
0,514,122,10,9
1,228,729,37,27
1,849,587,40,40
